catalog_id,title,author,alternate_titles,isbn13,year,edition_notes,series,ambiguity_tag
CAT-059,The Handmaid's Tale,Margaret Atwood,Handmaid's Tale|Handmaids Tale,9780385490818,1985,,,
CAT-060,The Testaments,Margaret Atwood,,9780385543781,2019,Sequel to Handmaid's Tale,,
CAT-061,Sapiens,Yuval Noah Harari,Sapiens: A Brief History of Humankind|A Brief History of Humankind,9780062316097,2011,Spine often shows short title only,,substring
CAT-062,Sapiens: A Brief History of Humankind,Yuval N. Harari,Sapiens,9780062316110,2015,Full title edition; author middle initial,,edition_pair
CAT-063,Homo Deus,Yuval Noah Harari,Homo Deus: A Brief History of Tomorrow,9780062464316,2015,,,
CAT-064,Educated,Tara Westover,Educated: A Memoir,9780399590504,2018,,,
CAT-065,Becoming,Michelle Obama,,9781524763138,2018,,,
CAT-066,Atomic Habits,James Clear,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,9780735211292,2018,,,
CAT-067,The Subtle Art of Not Giving a F*ck,Mark Manson,Subtle Art of Not Giving a Fuck|The Subtle Art of Not Giving a Fuck,9780062457718,2016,Censored vs uncensored spine text,,
CAT-068,"Thinking, Fast and Slow",Daniel Kahneman,Thinking Fast and Slow,9780374533557,2011,,,
CAT-069,The Alchemist,Paulo Coelho,Alchemist|O Alquimista,9780062315007,1988,,,shared_title
CAT-070,The Alchemist,Michael Scott,The Alchemyst|Alchemyst: The Secrets of the Immortal Nicholas Flamel,9780385737258,2007,Different book (often misshelved / misspelled as Alchemist),The Secrets of the Immortal Nicholas Flamel,shared_title
CAT-071,The Da Vinci Code,Dan Brown,Da Vinci Code,9780307474278,2003,,Robert Langdon,
CAT-072,Angels & Demons,Dan Brown,Angels and Demons,9780743493468,2000,,Robert Langdon,
CAT-073,Inferno,Dan Brown,,9780804172264,2013,,Robert Langdon,shared_title
CAT-074,Inferno,Dante Alighieri,The Inferno|Inferno (Divine Comedy),9780142437223,1320,"Different book, same short title",The Divine Comedy,shared_title
CAT-075,The Divine Comedy,Dante Alighieri,Divina Commedia|Divine Comedy,9780140448955,1320,Omnibus of Inferno / Purgatorio / Paradiso,The Divine Comedy,omnibus
CAT-076,Purgatorio,Dante Alighieri,Purgatory,9780142437224,1320,Individual canticle in Divine Comedy,The Divine Comedy,omnibus
CAT-077,Paradiso,Dante Alighieri,Paradise,9780142437225,1320,Individual canticle in Divine Comedy,The Divine Comedy,omnibus
CAT-078,A Game of Thrones,George R.R. Martin,Game of Thrones|AGOT,9780553386790,1996,,A Song of Ice and Fire,
CAT-079,A Clash of Kings,George R. R. Martin,Clash of Kings|ACOK,9780553381696,1999,Author spacing variant in initials,A Song of Ice and Fire,author_variant
CAT-080,A Storm of Swords,George RR Martin,Storm of Swords|ASOS,9780553381702,2000,Author initials without periods,A Song of Ice and Fire,author_variant
CAT-081,A Feast for Crows,"Martin, George R.R.",Feast for Crows|AFFC,9780553582024,2005,"Lastname, Firstname order",A Song of Ice and Fire,author_variant
CAT-082,A Dance with Dragons,George R.R. Martin,Dance with Dragons|ADWD,9780553582017,2011,,A Song of Ice and Fire,
CAT-083,A Song of Ice and Fire,George R.R. Martin,ASOIAF|Game of Thrones series box set,9780345535528,2011,Boxed / collected set covering volumes 1–5,A Song of Ice and Fire,omnibus
CAT-084,The Name of the Wind,Patrick Rothfuss,Name of the Wind,9780756404741,2007,,The Kingkiller Chronicle,
CAT-085,The Wise Man's Fear,Patrick Rothfuss,Wise Man's Fear|Wise Mans Fear,9780756407919,2011,,The Kingkiller Chronicle,
CAT-086,Project Hail Mary,Andy Weir,Hail Mary,9780593135204,2021,,,
CAT-087,The Martian,Andy Weir,Martian,9780553418026,2014,,,
CAT-088,Ready Player One,Ernest Cline,,9780307887443,2011,,,
CAT-089,Ready Player Two,Ernest Cline,,9781524761332,2020,Sequel; substring overlap with Ready Player One,,substring
CAT-090,The Hunger Games,Suzanne Collins,Hunger Games,9780439023528,2008,,The Hunger Games,substring
CAT-091,Catching Fire,Suzanne Collins,The Hunger Games: Catching Fire,9780439023498,2009,,The Hunger Games,
CAT-092,Mockingjay,Suzanne Collins,The Hunger Games: Mockingjay,9780439023511,2010,,The Hunger Games,
CAT-093,The Hunger Games Trilogy,Suzanne Collins,Hunger Games box set|Hunger Games omnibus,9780545265355,2010,Collected edition of books 1–3,The Hunger Games,omnibus
CAT-094,Twilight,Stephenie Meyer,,9780316015844,2005,,The Twilight Saga,shared_title
CAT-095,Twilight,Stephanie Meyer,Twilight Saga Book 1,9781904233657,2007,Common misspelling of author's given name,The Twilight Saga,author_variant
CAT-096,New Moon,Stephenie Meyer,,9780316024969,2006,,The Twilight Saga,
CAT-097,Eclipse,Stephenie Meyer,,9780316160209,2007,,The Twilight Saga,shared_title
CAT-098,Eclipse,John Banville,,9780375725296,2000,Literary novel; same short title as Meyer,,shared_title
CAT-099,Breaking Dawn,Stephenie Meyer,,9780316067928,2008,,The Twilight Saga,
CAT-100,Where the Crawdads Sing,Delia Owens,Crawdads Sing,9780735219090,2018,,,
CAT-101,The Silent Patient,Alex Michaelides,Silent Patient,9781250301697,2019,,,
CAT-102,Gone Girl,Gillian Flynn,,9780307588371,2012,,,
CAT-103,The Girl with the Dragon Tattoo,Stieg Larsson,Girl with the Dragon Tattoo|Män som hatar kvinnor,9780307454546,2005,English title; Swedish original differs,Millennium,us_uk_title
CAT-104,The Girl Who Played with Fire,Stieg Larsson,Girl Who Played with Fire,9780307454553,2006,,Millennium,substring
CAT-105,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,Girl Who Kicked the Hornets Nest|Hornet's Nest,9780307454560,2007,,Millennium,substring
CAT-106,Normal People,Sally Rooney,,9781984822178,2018,,,
CAT-107,Conversations with Friends,Sally Rooney,,9780451499059,2017,,,
CAT-108,Circe,Madeline Miller,,9780316556347,2018,,,
CAT-109,The Song of Achilles,Madeline Miller,Song of Achilles,9780062060624,2011,,,
CAT-110,Klara and the Sun,Kazuo Ishiguro,,9780593318171,2021,,,
CAT-111,Never Let Me Go,Kazuo Ishiguro,,9781400078776,2005,,,
CAT-112,The Remains of the Day,Kazuo Ishiguro,Remains of the Day,9780679731726,1989,,,
CAT-113,Life of Pi,Yann Martel,,9780156027328,2001,,,
CAT-114,The Kite Runner,Khaled Hosseini,Kite Runner,9781594631931,2003,,,
CAT-115,A Thousand Splendid Suns,Khaled Hosseini,Thousand Splendid Suns,9781594483851,2007,,,
CAT-116,And Then There Were None,Agatha Christie,Ten Little Indians|Ten Little Soldiers,9780062073488,1939,Famous retitled Christie novel (US/UK history),,us_uk_title
CAT-117,Murder on the Orient Express,Agatha Christie,Orient Express,9780062693662,1934,,Hercule Poirot,
CAT-118,The Murder of Roger Ackroyd,Agatha Christie,Murder of Roger Ackroyd,9780062073563,1926,,Hercule Poirot,
CAT-119,Steve Jobs,Walter Isaacson,Steve Jobs: The Exclusive Biography,9781451648539,2011,Biography; spine often just the subject name,,
CAT-120,Leonardo da Vinci,Walter Isaacson,da Vinci biography,9781501139154,2017,Can collide with Da Vinci Code on fuzzy title match,,substring
CAT-121,Outliers,Malcolm Gladwell,Outliers: The Story of Success,9780316017930,2008,,,
CAT-122,The Tipping Point,Malcolm Gladwell,Tipping Point,9780316346627,2000,,,
CAT-123,Blink,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,9780316010665,2005,Short title; high collision risk,,substring
CAT-124,The Power of Habit,Charles Duhigg,Power of Habit,9780812981605,2012,,,
CAT-125,Quiet,Susan Cain,Quiet: The Power of Introverts in a World That Can't Stop Talking,9780307352156,2012,Short spine title,,substring
